participant_id,image_id,face_view,question_type,response,timestamp
200,Face ID (25),left,pers_q5,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,trust_rating,4,2025-09-07T04:33:54.468243
200,Face ID (25),right,masc_choice,right,2025-09-07T04:33:54.468243
200,Face ID (25),right,fem_choice,left,2025-09-07T04:33:54.468243
200,Face ID (25),right,emotion_rating,1,2025-09-07T04:33:54.468243
200,Face ID (25),right,trust_q2,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,trust_q3,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,pers_q1,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,pers_q2,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,pers_q3,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,pers_q4,nan,2025-09-07T04:33:54.468243
200,Face ID (25),right,pers_q5,nan,2025-09-07T04:33:54.468243
200,Face ID (25),full,trust_rating,6,2025-09-07T04:34:03.301614
200,Face ID (25),full,masc_choice,right,2025-09-07T04:34:03.301614
200,Face ID (25),full,fem_choice,left,2025-09-07T04:34:03.301614
200,Face ID (25),full,emotion_rating,2,2025-09-07T04:34:03.301614
200,Face ID (25),full,trust_q2,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,trust_q3,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,pers_q1,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,pers_q2,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,pers_q3,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,pers_q4,nan,2025-09-07T04:34:03.301614
200,Face ID (25),full,pers_q5,nan,2025-09-07T04:34:03.301614
200,Face ID (72),left,trust_rating,3,2025-09-07T04:34:17.133740
200,Face ID (72),left,masc_choice,right,2025-09-07T04:34:17.133740
200,Face ID (72),left,fem_choice,left,2025-09-07T04:34:17.133740
200,Face ID (72),left,emotion_rating,4,2025-09-07T04:34:17.133740
200,Face ID (72),left,trust_q2,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,trust_q3,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,pers_q1,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,pers_q2,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,pers_q3,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,pers_q4,nan,2025-09-07T04:34:17.133740
200,Face ID (72),left,pers_q5,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,trust_rating,4,2025-09-07T04:34:17.133740
200,Face ID (72),right,masc_choice,right,2025-09-07T04:34:17.133740
200,Face ID (72),right,fem_choice,left,2025-09-07T04:34:17.133740
200,Face ID (72),right,emotion_rating,2,2025-09-07T04:34:17.133740
200,Face ID (72),right,trust_q2,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,trust_q3,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,pers_q1,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,pers_q2,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,pers_q3,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,pers_q4,nan,2025-09-07T04:34:17.133740
200,Face ID (72),right,pers_q5,nan,2025-09-07T04:34:17.133740
